"AWSAccountID","AWSRegion","AWSProfile","WindowId","WindowName","WindowDescription","WindowEnabled","Schedule","ScheduleTimezone","ScheduleOffset","Duration","Cutoff","NextExecutionTime","TaskId","TaskArn","TaskName","TaskDescription","TaskType","TaskPriority","TaskMaxConcurrency","TaskMaxErrors","ServiceRoleArn","TaskParameters"
"957697151809","eu-west-1","sso-ipf-aws-vmc-sddc3-privProjectCSA","mw-02368eaf3dda4615f","Patch-Schedule-B","Maintenance Window for patching","True","cron(00 2 ? * TUE#2 *)","UTC",,"2","1","2026-03-10T02:00Z","2f7f1ce9-ab25-40e8-a7b1-b1a82d631dcf","AWSManagedServices-PatchInstance","Patch-Instance-Task",,,"1","100%","100%","arn:aws:iam::957697151809:role/aws-service-role/ssm.amazonaws.com/AWSServiceRoleForAmazonSSM","{}"
"957697151809","eu-west-1","sso-ipf-aws-vmc-sddc3-privProjectCSA","mw-02474016807702d5b","FJS-DC2SIT01SCA001-CRL-Maintenance","Maintenance Window for CRL upload to S3","True","cron(30 17 ? * * *)","Etc/UTC",,"1","0","2026-03-03T17:30Z","95338581-93e6-42b7-a142-27b2a692b099","FJS-UploadCRLToS3","FJS-DC2SIT01SCA001-CRL-Maintenance","Maintenance Task for CRL upload to S3",,"1","1","1","arn:aws:iam::957697151809:role/fjs_managed_instance_core","{}"
"957697151809","eu-west-1","sso-ipf-aws-vmc-sddc3-privProjectCSA","mw-02dc3dfc55cf92ec7","Patch-Schedule-C","Maintenance Window for patching","True","cron(00 2 ? * TUE#3 *)","UTC",,"2","1","2026-03-17T02:00Z","26bc9c06-bda2-4075-bf97-28ed8c19c8ba","AWSManagedServices-PatchInstance","Patch-Instance-Task",,,"1","100%","100%","arn:aws:iam::957697151809:role/aws-service-role/ssm.amazonaws.com/AWSServiceRoleForAmazonSSM","{}"
"957697151809","eu-west-1","sso-ipf-aws-vmc-sddc3-privProjectCSA","mw-04d14b33eee042031","FJS-DC2PRE01SCA001-CRL-Maintenance","Maintenance Window for CRL upload to S3","True","cron(0 12 ? * * *)","Etc/UCT",,"1","0","2026-03-03T12:00Z","5bfc164d-3f5f-4537-b9e3-d31013b88f6e","FJS-UploadCRLToS3","FJS-UploadCRLtoS3-DC2PRE01SCA001",,,"1","1","1","arn:aws:iam::957697151809:role/fjs_managed_instance_core","{}"
"957697151809","eu-west-1","sso-ipf-aws-vmc-sddc3-privProjectCSA","mw-094c0a36b223a35f6","Patch-Schedule-A","Maintenance Window for patching","True","cron(00 2 ? * TUE#1 *)","UTC",,"2","1","2026-04-07T02:00Z","428d8cc5-fb5b-4333-84a6-a8d78b048faf","AWSManagedServices-PatchInstance","Patch-Instance-Task",,,"1","100%","100%","arn:aws:iam::957697151809:role/aws-service-role/ssm.amazonaws.com/AWSServiceRoleForAmazonSSM","{}"
"957697151809","eu-west-1","sso-ipf-aws-vmc-sddc3-privProjectCSA","mw-09fbc1cb909873827","WSIM-TUE3-1600-2000","WSIM-TUE3-1600-2000","True","cron(0 16 ? * TUE#3 *)",,,"4","0","2026-03-17T16:00Z","9998fdea-4652-42e3-af20-b3ce65a9bbcc","AWS-RunPatchBaseline","WSIM-PatchHybridInstances","Run command to Patch Hybrid Instances",,"1","100%","3","arn:aws:iam::957697151809:role/aws-service-role/ssm.amazonaws.com/AWSServiceRoleForAmazonSSM","{}"
"957697151809","eu-west-1","sso-ipf-aws-vmc-sddc3-privProjectCSA","mw-09fbc1cb909873827","WSIM-TUE3-1600-2000","WSIM-TUE3-1600-2000","True","cron(0 16 ? * TUE#3 *)",,,"4","0","2026-03-17T16:00Z","eb93d979-9d08-44aa-8eb6-1f1c88c07c0d","AWS-RunPatchBaseline","WSIM-ScanHybridInstances","Run command to Scan Hybrid Instances for missing patches",,"0","100%","3","arn:aws:iam::957697151809:role/aws-service-role/ssm.amazonaws.com/AWSServiceRoleForAmazonSSM","{}"
"957697151809","eu-west-1","sso-ipf-aws-vmc-sddc3-privProjectCSA","mw-0a7e9753bc7dd8986","FJS-DC2UAT01SCA001-CRL-Maintenance","Maintenance Window for CRL upload to S3","True","cron(0 18 ? * * *)","Etc/UTC",,"1","0","2026-03-03T18:00Z","e25fba61-5740-4dd2-8e19-ea029c1dd5d3","FJS-UploadCRLToS3","FJS-DC2UAT01SCA001-CRL-Maintenance","Maintenance Window for CRL upload to S3",,"1","1","1","arn:aws:iam::957697151809:role/fjs_managed_instance_core","{}"
"957697151809","eu-west-1","sso-ipf-aws-vmc-sddc3-privProjectCSA","mw-0b81dbff95bbe537a","Patch-Schedule-D-PROD","Maintenance Window for patching","True","cron(00 2 ? * TUE#4 *)","UTC",,"2","1","2026-03-24T02:00Z","ad3518a2-80b3-4d36-82a1-2ddb92ed625d","AWSManagedServices-PatchInstance","Patch-Instance-Task",,,"1","100%","100%","arn:aws:iam::957697151809:role/aws-service-role/ssm.amazonaws.com/AWSServiceRoleForAmazonSSM","{}"
"957697151809","eu-west-1","sso-ipf-aws-vmc-sddc3-privProjectCSA","mw-0d7b54ad17896dd93","WSIM-Thu3-1900-2300","WSIM-Thu3-1900-2300","True","cron(08 13 ? * THU#3 *)","Europe/London",,"4","0","2026-03-19T13:08Z","ccc3ab5b-44af-4d6d-82b4-892afbf23a4d","AWS-RunPatchBaseline","WSIM-ScanHybridInstances","Run command to Scan Hybrid Instances",,"0","100%","3","arn:aws:iam::957697151809:role/aws-service-role/ssm.amazonaws.com/AWSServiceRoleForAmazonSSM","{}"
"957697151809","eu-west-1","sso-ipf-aws-vmc-sddc3-privProjectCSA","mw-0d7b54ad17896dd93","WSIM-Thu3-1900-2300","WSIM-Thu3-1900-2300","True","cron(08 13 ? * THU#3 *)","Europe/London",,"4","0","2026-03-19T13:08Z","e3b59fcb-5653-44d5-b0e0-137ef1860274","AWS-RunPatchBaseline","WSIM-ScanHybridInstances","Run command to Scan Hybrid Instances",,"1","100%","3","arn:aws:iam::957697151809:role/aws-service-role/ssm.amazonaws.com/AWSServiceRoleForAmazonSSM","{}"
"957697151809","eu-west-1","sso-ipf-aws-vmc-sddc3-privProjectCSA","mw-0e3d3146f9be21590","FJS-DC2DEV01SCA001-CRL-Maintenance","Maintenance Window for CRL upload to S3","True","cron(30 21 ? * * *)","Etc/UTC",,"1","0","2026-03-03T21:30Z","7b89dac9-6b01-4dbf-8bec-3dd9c415cbf2","FJS-UploadCRLToS3","FJS-DC2DEV01SCA001-CRL-Maintenance","Maintenance Task for CRL upload to S3",,"1","1","1","arn:aws:iam::957697151809:role/fjs_SsmAutomationExecutionRole","{}"
"957697151809","eu-west-1","sso-ipf-aws-vmc-sddc3-privProjectCSA","mw-0fb54fcf7459aba32","Test",,"True","cron(0 16 ? * TUE#3 *)","Europe/London",,"4","0","2026-03-17T16:00Z",,,,,,,,,,
